Episode Name,Link
Moving the Chains,http://community.livejournal.com/clinic_duty/35857.html#cutid1
5 to 9,http://community.livejournal.com/clinic_duty/36140.html#cutid1
Private Lives,http://community.livejournal.com/clinic_duty/36466.html#cutid1
Black Hole,http://community.livejournal.com/clinic_duty/36827.html#cutid1
Lockdown,http://community.livejournal.com/clinic_duty/36995.html#cutid1
Knight Fall,http://community.livejournal.com/clinic_duty/37341.html#cutid1
Open and Shut,http://community.livejournal.com/clinic_duty/37385.html#cutid1
The Choice,http://community.livejournal.com/clinic_duty/37661.html#cutid1
Baggage,http://community.livejournal.com/clinic_duty/37900.html#cutid1
Help Me,http://community.livejournal.com/clinic_duty/38227.html
Now What,http://community.livejournal.com/clinic_duty/38718.html#cutid1
Selfish,http://community.livejournal.com/clinic_duty/38963.html
Unwritten,http://community.livejournal.com/clinic_duty/39260.html
Massage Therapy,http://community.livejournal.com/clinic_duty/39542.html#cutid1
Unplanned Parenthood,http://community.livejournal.com/clinic_duty/39711.html
Office Politics,http://community.livejournal.com/clinic_duty/40279.html#cutid1
A Pox on Our House,http://community.livejournal.com/clinic_duty/40184.html#cutid1
Small Sacrifices,http://community.livejournal.com/clinic_duty/40615.html#cutid1
Larger Than Life,http://community.livejournal.com/clinic_duty/40921.html#cutid1
Carrot or Stick,http://community.livejournal.com/clinic_duty/41106.html#cutid1
Family Practice,http://community.livejournal.com/clinic_duty/41432.html#cutid1
You Must Remember This,http://community.livejournal.com/clinic_duty/41701.html#cutid1
Two Stories,http://community.livejournal.com/clinic_duty/41733.html#cutid1
Recession Proof,http://community.livejournal.com/clinic_duty/42179.html#cutid1
Bombshells,http://community.livejournal.com/clinic_duty/42358.html#cutid1
Out of the Chute,http://community.livejournal.com/clinic_duty/42744.html#cutid1
Fall from Grace,http://community.livejournal.com/clinic_duty/42944.html#cutid1
The Dig,http://community.livejournal.com/clinic_duty/43205.html#cutid1
Last Temptation,http://community.livejournal.com/clinic_duty/43465.html#cutid1
Changes,http://community.livejournal.com/clinic_duty/43568.html#cutid1
The Fix,http://community.livejournal.com/clinic_duty/43862.html#cutid1
After Hours,http://community.livejournal.com/clinic_duty/44164.html#cutid1
Moving On,http://community.livejournal.com/clinic_duty/44404.html#cutid1
Twenty Vicodin,http://community.livejournal.com/clinic_duty/44960.html#cutid1
Transplant,http://community.livejournal.com/clinic_duty/45266.html#cutid1
Charity Case,http://community.livejournal.com/clinic_duty/45501.html#cutid1
Risky Business,http://community.livejournal.com/clinic_duty/45726.html#cutid1
The Confession,http://community.livejournal.com/clinic_duty/45959.html#cutid1
Parents,http://community.livejournal.com/clinic_duty/46265.html#cutid1
Dead &amp; Burried,http://community.livejournal.com/clinic_duty/46539.html#cutid1
Perils of Paranoia,http://community.livejournal.com/clinic_duty/46616.html#cutid1
Better Half,http://community.livejournal.com/clinic_duty/47531.html#cutid1
Runaways,http://community.livejournal.com/clinic_duty/47710.html#cutid1
Nobody’s Fault,http://community.livejournal.com/clinic_duty/47916.html#cutid1
Chase,http://community.livejournal.com/clinic_duty/48334.html#cutid1
Man of the House,http://community.livejournal.com/clinic_duty/48630.html#cutid1
Love is Blind,http://community.livejournal.com/clinic_duty/48671.html#cutid1
Blowing the Whistle,http://community.livejournal.com/clinic_duty/48930.html#cutid1
Gut Check,http://community.livejournal.com/clinic_duty/49325.html#cutid1
We Need the Eggs,http://community.livejournal.com/clinic_duty/49573.html#cutid1
Body and Soul,http://community.livejournal.com/clinic_duty/49746.html#cutid1
The C-Word,http://community.livejournal.com/clinic_duty/49991.html#cutid1
Post Mortem,http://community.livejournal.com/clinic_duty/50246.html#cutid1
Holding On,http://community.livejournal.com/clinic_duty/50606.html#cutid1
Everybody Dies,http://community.livejournal.com/clinic_duty/50943.html#cutid1
